,sentence,category_targets
111,"Я уже не хочу с ними иметь дело, но Сбербанк ""всегда рядом"", даже, когда он тебе и не нужен.",0
112,И он переключился с обслуживания меня на обслуживание этого клиента (хотя я на тот момент стоял уже у окна и работа с разрывом договора шла полным ходом)!,0
113,Ушла я довольная и с оформленным договором.,2
115,"Данный банкомат установлен по адресу: г. Москва, ул. Барклая, д.16, к.1 (крайний правый на прием наличных), хотя сомневаюсь уже,что остальные исправны банкоматы.",2
116,"Я была очень приятно удивлена, не ожидала получить настолько радушный прием за 5 минут до закрытия офиса.",2
117,"Сразу видно, что это хороший специалист.",2
118,"Жалобу я написала, а всем советую быть аккуратнее при работе с данным отделением Сбербанка - ведь даже непонятно, как проверить их слова и действия и не потерять деньги из-за того, что они не выполнили свою работу грамотно.",2
119,"Очень вежливый, внимательно выслушал, и помог разрешению вопроса по кредиту.",0
122,"Открывали счет 2 недели... Открыли, пока готовилась карта Тинькофф (нужны были срочно деньги), перевели на р/с карты другого банка -  все ок, бесплатно, как в п.6, после 3-й платежки - 49 рублей... Проведя 3 операции, спокойно делаю 4-ю и... да, да, да!, 1,5% списано за операцию.",2
122,"Открывали счет 2 недели... Открыли, пока готовилась карта Тинькофф (нужны были срочно деньги), перевели на р/с карты другого банка -  все ок, бесплатно, как в п.6, после 3-й платежки - 49 рублей... Проведя 3 операции, спокойно делаю 4-ю и... да, да, да!, 1,5% списано за операцию.",3
124,"А если учесть то, как я переживала, я была очень рада.",2
125,"Никакого тебе официального письма со счетом, даже смс прислать не могут.",0
126,Очень понравилось мобильное приложение и по банку и по брокерскому счету.,2
127,"И мне теперь вот новый талончик - и сидите и ждите в очереди, и вообще он главный по очереди в кассу :-)Я, честно говоря, - да же не знал, что ответить и попросил вызвать руководителя, который пришел - и подтвердил, что она не может управлять коллективом.",0
130,"Хочу выразить благодарность сотрудникам Росбанка, которые общались со мной в процессе работы, все адекватные, культурные люди.",0
131,"Вечером звоню - заявка все еще на рассмотрении, срок неизвестен, отключить смс банк не можем, и вообще - ""Вам же сказали - звоните ЗАВТРА, а вы все время СЕГОДНЯ звоните"" (с) Это что за безобразие?",0
132,"Мне выдали карту CASHBACK, по которой категории кэшбэка меняются каждый месяц... Честно говоря, я очень разочарована отношением оператора банка, ее невнимательностью к клиенту.",0
133,"Моё мнение о сотрудниках: ипотечный менеджер Б-ва К.: совершенно неклиентоориентированна, во многих вопросах не компетентна, в клиенте совершенно не заинтересована.",0
134,Хочу выразить огромное человеческое спасибо всем сотрудникам ПАо Сбербанка которые оказали мне помощь и отдельно огромное человеческое спасибо Виктору.,0
135,"И это очень большая проблема, так как очень часто деньги в срок не зачисляются, образуются просрочки, штрафы.",2
136,"Руки в таких ситуациях просто опускаются, пишешь на сайте - приходят ответы месяцы спустя о том, что не видят проблемы, нечего рассматривать, ходишь по кабинетам, понимающе кивают (в лучшем случае), а результата нет!",0
137,"У сотрудников банка такое недовольное выражение лица, как будто мы к ним домой приходим!",0
139,"Самое возмутительное - кроме всего вышеописанного , сотрудник банка намеренно ввел меня в заблуждение для подключения услуг: «семейный оберег», «помощь на дороге», «подари лес».",0
140,Последний раз оплачивала свой сотовый 14.04.07 и успешно.,2
141,"на походы в отделение для установки лимита на получение наличных с кредитной карты (заявление, день ожидания, ошибка сотрудника, снова заявление, ожидание, снова ошибка – ужос!)",2
142,"Что я и делаю, несколько знакомых стали пользоваться после моей наводки и обсуждения подводных камней (а их у ТКС всё-таки хватает), и сейчас вполне довольны положением вещей.",2
143,Обсалютно безответственная работа и наплевательское отношение к клиенту.,0
144,"Ребята  - большие молодцы, сработали безупречно.",2
145,Карта показалась мне привлекательной по условиям обслуживания.,2
146,"Я, и моя семья, являются клиентами ""Сбербанка"" много лет, наши зарплатные карты были привязаны к этому банку, мы не раз открывали депозиты и пользуемся кредитными картами ""Сбербанка"".",2
148,"Больше никогда в этот банк не обращусь и никому не рекомендую, если не хотите остаться обманутыми!",0
149,Звоню туда - ответа тоже никакого.,0
150,Все продукты ужасного качества как и сервис.,2
151,"Отвратительный сервис, полное отсутствие желания помочь.",2
152,"Сотрудники по данному вопросу некомпетентны, решение простого вопроса длится более двух месяцев.",2
153,"Звонок с московского номера (+74957379480), беру трубку, робот приятным женским голосом просит не класть трубку, оператор скоро ответит.",0
155,Хочу поблагодарить сотрудников банка в Москве в офисе на Бутырской улице.,0
157,"Итого что имеем обещанная ставка выросла более чем в два раза, я зря потратил свое время, меня пытались обмануть, номер попал третьим лицам и теперь меня донимают спамом.",2
157,"Итого что имеем обещанная ставка выросла более чем в два раза, я зря потратил свое время, меня пытались обмануть, номер попал третьим лицам и теперь меня донимают спамом.",3
159,"Договор читать не даём, он в компе в электронном виде... Естественно всё желание сотрудничества с данным банком пропало тут же напрочь.",2
161,"Желаю ВТБ 24, побольше столь эффективно работающих сотрудников!",2
162,Радость от покупки этот банк нам испортил потому что не предупредив самовольно ввел условие на снятие наличных с удержанием 5%.,0
163,"Реально хочеться попросить руководство обучать своих сотрудников перед тем как сажать их за рабочие места и ввести хоть какой то контроль за тем что они делают на рабочих местах и что обслуживание клиента-должно быть первоочередно,а общение на потусторонние темы при клиенте не должно происходить особенно для тех кто и так некомпетентен!",2
164,"Она с этой задачей, естественно, успешно справилась.4.",0
166,Сначала пришел пустой ответ. Пустой!,0
168,"Контактных телефонов, эл. почты тоже нет!!!",0
169,"Обслуживание ужасное, все в отделении занимаются только своими делами, по курить, то в туалет, но никак не к клиентам.",2
171,"в филиал Вашего банка номер подразделения 8608/00256 был в очередной раз расстроен, удивлен и восхищен артистизмом работников данного филиала!",0
172,"Особая благодарность коллективу кредитного отдела: отнеслись к нашей фирме (к нашему бизнесу) очень профессионально, в то же время учли все наши ""индивидуальности"" и пожелания.",2
173,"Пользуюсь исключительно только этой картой,и на себе ощущаю все выгоды.",3
174,"Так с самого утра мне позвонила какая-то хамка и угрожала, хамским тонном начала сообщать, что у меня просрочка и теперь мне надо платить штраф.",0
175,"Резюме: не ходите в Росбанк, он очень непорядочный и повернут не тем местом к клиенту.",2
175,"Резюме: не ходите в Росбанк, он очень непорядочный и повернут не тем местом к клиенту.",0
177,"А так как среди менеджеров есть какая-то заинтересованность, скорее всего финансовая, это уже они всеми правдами и неправдами стараются впарить эту дрянь!",0
178,мне предложили этот чудо продукт под названием МУЛЬТИКАРТА с кред лимитом и хорошим кеш.,3
178,мне предложили этот чудо продукт под названием МУЛЬТИКАРТА с кред лимитом и хорошим кеш.,0
179,"Впервые воспользовалась услугами этого банка, т.к. брала товар в рассрочку, и никому не рекомендую, т.к каждый месяц у меня с этим банком проблемы, сотрудники не компетентны, в первый раз ошибочный перевод возвращали 2 месяца, и только после 5 звонка зафиксировали обращение, причем несколько разных сотрудников предоставляли не верную информацию, хотя по всем банковским регламентам, если деньги невозможно зачислить, они возвращаются обратно в течении 5 рабочих дней и без всяких обращений!",0
180,И после еще два раза откровенно отказались решать проблему.,0
183,"Я буду обращаться везде, куда только можно.",2
185,"В грубой форме требуют оплаты долга (на сегодня уже была озвучена сумма в 3000₽), угрожают тем, что начнут звонить моим родств-кам, а также запугивают порчей кредит.",4
186,"21.04 2020 мне одобрили заявку со словами, ""ожидайте звонка из банка для согласования времени и даты подписания нового графика платежа"" и на этом ВСЕ!",0
187,"Не могут связать ни с кем, кто разбирается в этом вопросе!",0
189,"поддержка по телефону - единица за компетентность (кроме того раза, когда заявка была все же принята в понедельник) Тем, кто разрабатывал он-лайн сервисы, вообще 0, потому что настолько нестабильный и сырой продукт, что подумать страшно, что там с безопасностью.",0
189,"поддержка по телефону - единица за компетентность (кроме того раза, когда заявка была все же принята в понедельник) Тем, кто разрабатывал он-лайн сервисы, вообще 0, потому что настолько нестабильный и сырой продукт, что подумать страшно, что там с безопасностью.",2
190,Спасибо сотрудникам за грамотное консультирование и доброжелательное отношение к клиентам.,0
191,"Что вообще происходит: абсолютная некомпетентность сотрудников или наставления от руководства делать так, чтоб клиент вас ненавидел?",2
192,"Это очень удобно, банкоматы в городе есть в крупных торговых центрах.",2
194,"Мало того, что нужно было им доотправить миллион документов, как ни в одном другом банке, так на службу в фсб не проверяют, как у вас перед окончательным одобрением ипотеки, учитывая, что мы в данный момент добросовестно платим ипотеку в другом банке, это говорит уже о том, что мы платежеспособные клиенты, но бог с ним с этим огромным списком документов, так это всё тянется столько дней - вот главная претензия!!!",0
194,"Мало того, что нужно было им доотправить миллион документов, как ни в одном другом банке, так на службу в фсб не проверяют, как у вас перед окончательным одобрением ипотеки, учитывая, что мы в данный момент добросовестно платим ипотеку в другом банке, это говорит уже о том, что мы платежеспособные клиенты, но бог с ним с этим огромным списком документов, так это всё тянется столько дней - вот главная претензия!!!",2
195,"Добрый день,Хочу выразить искреннюю благодарность руководителю проектов ПАО Сбербанк (Москва, ул. Оружейный переулок, 41) К-у М. за ответственное и внимательное отношение к потребностям клиента.",2
197,"Очень отвращает в дальнейшем пользоваться услугами банка, который, в случае чего, просто отмалчивается.",0
198,"Прошел почти месяц ни звонка, ни письма, хотя я оставляла свой почтовый адрес, я так и не получила!",0
202,"Банк может связаться со мной по моему личному телефону (как видите я всегда отвечаю на звонки и общаюсь с сотрудниками банка, детализация и аудиозапись телефонных звонков и переговоров с банком имеется) или посредством почтовой связи.",0
203,"Татьяна встретила меня с улыбкой, поприветствовала, что очень приятно.",0
204,"Пришли домой, прочитали все документы и были в ШОКЕ.",0
205,Оценка - 1 за отвратительную работу службы поддержки и службы безопасности.,0
205,Оценка - 1 за отвратительную работу службы поддержки и службы безопасности.,4
207,Отвратительный сервис в данном банке!,2
209,"Или теряете, или болеете... А менеджер вообще молодец - ""ну, досканируйте (оповестив меня, когда я на кухне в 18-30 кормлю семью) как будет время..."".",0
212,Они же потеряли мои документы?» Я получил ответ: «Мы ничего исправить не можем!»  Тогда я попросил вызвать для выяснения сложившейся ситуации руководителя Отдела сопровождения – М-нову Дарьяну.,2
213,Жуткий и неприкрытый обман клиентов!,0
214,"Как я могу узнать о ней, если меня просто игнорируют?",0
215,"Позвонил на горячую линию, в итоге сказали, что перевыпуск платный!?!",0
217,"Звонки в поддержку результата не дали, так как персонал не владеет ситуацией по данному вопросу и переключает от одного к другому, а минут через 20-25 ожидания бросает трубки.",0
217,"Звонки в поддержку результата не дали, так как персонал не владеет ситуацией по данному вопросу и переключает от одного к другому, а минут через 20-25 ожидания бросает трубки.",2
222,"При обращении в контакт-центр девушка бросила трубку не став ничего объяснять, пришлось звонить второй раз и со второго раза вежливая девушка пояснила как можно осуществить перевод.",0
223,"Месяц назад хотел поставить 5, за оперативную и беспроблемную выдачу ипотеки.",2
225,"Я очень рад, что смог обогатить с помощью ""специалиста"" Александры и директора Ольг Ваш банк на 10 000 рублей!",0
226,"Подробнее на: http://p.vtb24.ru/creac2 ВТБ 24 (ПАО) О, думаю, хорошее предложение.",2
227,"Подал заявку на рефинансирование кредита, 650000 на 2 года, после долгого общения со специалистом договорились об условиях - все отлично.",2
228,Я не идиот и судьи не идиоты!!!,0
229,"Оператор ужасно хамил на мой вопрос когда вернут деньги, сказала через 30 дней и добавив - ну вам что не на что жить что ли.",0
230,"Ситуция, в точности аналогичная той, что описана в отзыве ""Хитрая конвертация"", только конвертировал в доллары по курсу около 53.5.",3
231,Крайне не рекомендую всем обращаться данную организацию.,2
232,Банк цинично обманывает своих клиентов.,0
233,"Вчера по номеру 900 сообщили, что можно перевести без комиссии, а сегодня в отказ идут!!!",0
235,Отличный пакет по карте ALL Airlines!,2
236,"За время сотрудничества я не часто обращался в кц, но всегда все было быстро и доходчиво.",0
240,"Александру К. огромное спасибо за доходчивое, человеческое объяснение во всех этих банковских терминах!",0
241,"Сегодня, 03.05.2017, звонка нет, на горячую линию дозвониться невозможно, заявленный срок рассмотрения заявки истек.",0
243,"Моя заблокированная карта была украдена, почему я пишу заявление на отключение, а мне подключают услуги к заблокированной карте???",2
243,"Моя заблокированная карта была украдена, почему я пишу заявление на отключение, а мне подключают услуги к заблокированной карте???",4
244,"Потому что банк ссылается на своего подрядчика, а те в свое время нарушают все условия собственной же оферты и не возвращают вам деньги ничем это не аргументируя.",2
245,"Попала я на обслуживание к Е-ой Юлии, которая внимательно меня выслушала и начала выполнять  эту очень непопулярную и малочисленную банковскую операцию.",0
246,Звонки на горячую линию результата не приносят - туда просто не дозвониться.,0
247,"Больше всего меня удивило, что она не раздражалась, вела себя спокойно, вежливо.",0
248,"Хорошо, что не было очереди, никто не психовал и не дышал в спину, но это очень ПЛОХО, потому что НЕУДОБНО.02.09.17 пришел туда еще раз с собой 20 купюр.",2
249,"Комиссия  у банка по эквайрингу высокая, а обслуживание-ужасное!!",3
249,"Комиссия  у банка по эквайрингу высокая, а обслуживание-ужасное!!",2
250,"Девушки и юноши общаются вполне прилично вежливо и помогают, в отличие от их коллег из отдела по работе с юр. лицами которые просто швыряют тебе бумаги, мол, ""делайте все сами, образцы ищите там"".5.",0
250,"Девушки и юноши общаются вполне прилично вежливо и помогают, в отличие от их коллег из отдела по работе с юр. лицами которые просто швыряют тебе бумаги, мол, ""делайте все сами, образцы ищите там"".5.",2
252,"Время начала работы с 8.00 прекрасно мне подходило, как раз и на работу успевал бы.",2
254,"Невозможно отмотать месяц-другой назад (страницы перескакивают сразу на несколько месяцев - явно, что это неполадки разработчиков), страница трясётся и прыгает под тач-скрином.",2
256,"Каждое общение с ним оставляет хорошее впечатление о его работе, и о работе самого банка.",2
257,На повторные обращения за информацией о сроках вообще никак не реагируют!,0
258,Почему после 2х обращений вопрос проигнорирован и в ответ я получаю только формальные отписки?,0
260,"На мою просьбу закрыть дверь кассир ответила, что не будет этого делать, на просьбу поставить кого то из работников офиса на дверь ответила презрительно ага щас разбежалась и откровенно рассмеялась, мол , типа, кому вы тут нужны.",0
261,"На мое заявление, кстати говоря, так и не пришел ответ!",0
262,"Пишу сюда так как уже не знаю что делать, на протяжении 5 месяцев не могу добавить свою зарплатную карту Бинбанка в интернет банк Бинбанк онлайн 2.0, написал уже 5 обращений в банк ответ один и тот же "" Информация обновлена.",0
262,"Пишу сюда так как уже не знаю что делать, на протяжении 5 месяцев не могу добавить свою зарплатную карту Бинбанка в интернет банк Бинбанк онлайн 2.0, написал уже 5 обращений в банк ответ один и тот же "" Информация обновлена.",2
263,"Но самое отвратительное, что договор бессмысленно закрывать сейчас: все уплаченные мной до этого деньги считаются ""уплатой процентов по кредиту"" и практически не уменьшают сумму долга.",0
264,Не рекомендую никому обращаться в данный банк и пользоваться услугами.,2
265,"Господа, это как минимум странно, а как максимум неуважительное отношение к своим клиентам.",0
266,"Еще ни один банк не отнимал у меня столько времени на решение элементарной проблемы – карта, выданная банком, не работает!",2
